,has_bug,has_document,has_feature,has_improve,has_refactor,has_test,has_fix,has_error,has_update,title_length,body_length,created_hour,created_dayofweek,created_month,created_year,comments,commits,additions,deletions,changed_files,directories,language_types,file_types,lines_added,lines_deleted,segs_added,segs_deleted,segs_updated,files_added,files_deleted,files_updated,file_developer,change_num,files_modified,is_core_member,prev_PRs,title_words,body_words
29,0,0,0,0,0,0,0,0,0,42,0,11,4,5,2018,0,1,17,5,1,1,1,1,17,5,0,0,0,0,0,1,0,1,1,0,0,7,0
30,0,0,0,0,0,0,1,0,0,32,979,5,5,5,2018,44,17,496,248,14,3,2,2,496,248,0,0,0,1,0,13,0,14,13,0,0,5,105
31,0,0,0,0,0,1,0,0,0,18,12,12,5,5,2018,10,3,572,0,22,3,3,3,572,0,0,0,0,22,0,0,0,22,0,0,0,3,2
32,0,0,0,0,0,0,0,0,0,30,56,6,6,5,2018,2,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,4,10
33,0,0,0,0,0,0,0,0,0,33,12,7,6,5,2018,0,1,3,0,1,1,1,1,3,0,0,0,0,0,0,1,0,1,1,0,0,6,2
34,0,0,0,0,0,0,0,1,0,45,0,7,6,5,2018,0,1,2,2,1,1,1,1,2,2,0,0,0,0,0,1,0,1,1,0,0,7,0
35,0,0,0,0,0,0,0,0,0,25,12,15,0,5,2018,4,2,2,1,1,1,1,1,2,1,0,0,0,0,0,1,0,1,1,0,0,4,2
36,0,0,0,0,0,0,0,0,1,23,0,16,0,5,2018,0,1,4,6,3,2,2,2,4,6,0,0,0,0,0,3,0,3,3,0,0,4,0
37,0,0,0,0,0,0,0,0,0,28,0,19,0,5,2018,0,1,10993,0,5,2,4,4,10993,0,0,0,0,5,0,0,0,5,0,0,0,4,0
38,0,0,0,0,0,0,0,0,0,37,11,17,2,5,2018,1,1,15,0,1,0,1,1,15,0,0,0,0,0,0,1,0,1,1,0,0,4,2
39,0,0,0,0,0,0,0,0,0,41,416,19,2,5,2018,0,2,82,53,18,4,7,6,82,53,0,0,0,11,2,5,0,18,5,0,0,6,63
40,0,0,0,0,0,1,0,1,1,47,11,20,2,5,2018,0,2,20,33,3,1,3,3,20,33,0,0,0,0,0,3,0,3,3,0,0,7,2
41,0,0,0,0,0,0,1,0,0,10,521,21,2,5,2018,0,2,72,55,1,1,1,1,72,55,0,0,0,0,0,1,0,1,1,0,0,2,67
42,0,0,0,1,0,0,0,0,0,39,172,12,4,5,2018,0,1,37,30,2,1,1,1,37,30,0,0,0,0,0,2,0,2,2,0,0,6,28
43,0,0,0,0,0,0,0,0,0,19,26,9,4,5,2018,2,3,113,111,20,3,2,2,113,111,0,0,0,0,0,20,0,20,20,0,0,3,6
44,0,0,0,0,0,0,0,0,0,49,23,17,4,5,2018,0,1,181,0,9,2,5,4,181,0,0,0,0,7,0,2,0,9,2,0,0,9,4
45,0,0,0,0,0,0,0,0,0,37,0,18,4,5,2018,0,1,16,0,6,2,3,2,16,0,0,0,0,4,0,2,0,6,2,0,0,7,0
46,0,0,0,0,0,0,0,0,0,21,8,12,5,5,2018,0,1,17,3,1,1,1,1,17,3,0,0,0,0,0,1,0,1,1,0,0,5,2
47,0,0,0,0,0,0,0,0,0,47,10,8,5,5,2018,0,1,42,20,2,1,1,1,42,20,0,0,0,0,0,2,0,2,2,0,0,4,2
48,0,0,0,0,0,0,0,1,0,25,116,9,5,5,2018,0,1,46,24,2,1,1,1,46,24,0,0,0,0,0,2,0,2,2,0,0,3,21
49,0,0,0,0,1,0,0,0,0,17,210,13,0,5,2018,1,2,95,90,4,1,1,1,95,90,0,0,0,1,0,3,0,4,3,0,0,3,36
50,0,0,0,0,0,0,0,0,1,39,152,1,1,5,2018,4,2,1,0,2,0,2,2,1,0,0,0,0,1,0,1,0,2,1,0,0,7,15
51,0,0,1,0,0,0,0,0,0,29,174,20,0,5,2018,1,2,146,127,3,1,1,1,146,127,0,0,0,1,0,2,0,3,2,0,0,4,32
52,0,0,0,0,0,0,1,0,0,65,173,16,1,5,2018,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,10,21
53,0,0,0,0,0,0,0,0,0,15,16,20,1,5,2018,2,1,338,6,2,1,2,2,338,6,0,0,0,1,0,1,0,2,1,0,0,3,2
54,0,0,0,0,0,0,0,0,0,38,0,10,3,5,2018,1,3,13,6,6,3,3,3,13,6,0,0,0,0,0,6,0,6,6,0,0,6,0
55,0,0,0,0,0,0,0,1,0,70,216,9,2,5,2018,1,1,6,2,1,1,1,1,6,2,0,0,0,0,0,1,0,1,1,0,0,13,30
56,0,0,0,0,0,0,1,1,0,38,59,12,3,5,2018,4,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,6,10
57,0,0,0,0,0,0,0,0,0,38,328,17,3,5,2018,0,2,6,0,1,1,1,1,6,0,0,0,0,0,0,1,0,1,1,0,0,5,39
58,0,0,0,0,0,0,0,1,0,32,0,20,4,5,2018,0,1,2,1,2,1,1,1,2,1,0,0,0,0,0,2,0,2,2,0,0,4,0
59,0,0,0,0,0,1,0,1,0,14,583,3,4,6,2018,22,6,130,14,4,1,1,1,130,14,0,0,0,0,0,4,0,4,4,0,0,2,112
60,0,0,0,0,0,0,1,0,0,16,0,14,4,6,2018,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,3,0
61,0,0,0,0,0,0,0,0,1,38,0,9,4,6,2018,1,1,2,5,1,0,1,1,2,5,0,0,0,0,0,1,0,1,1,0,0,4,0
62,0,0,0,0,0,1,0,0,0,48,11,16,5,6,2018,0,1,72,26,3,1,3,3,72,26,0,0,0,0,0,3,0,3,3,0,0,7,2
63,0,0,0,0,0,0,0,0,0,15,0,21,3,6,2018,1,1,4,0,3,2,3,2,4,0,0,0,0,1,0,2,0,3,2,0,0,3,0
64,0,0,0,0,0,1,1,0,0,8,209,20,3,7,2018,3,3,25,4,2,1,1,1,25,4,0,0,0,0,0,2,0,2,2,0,0,2,28
65,0,0,0,0,0,0,0,0,0,4,0,10,4,7,2018,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0
66,0,0,0,0,0,0,0,0,0,28,121,16,5,7,2018,10,1,39,0,2,1,2,2,39,0,0,0,0,1,0,1,0,2,1,0,0,5,18
67,0,0,0,0,0,0,1,1,0,67,561,19,5,7,2018,4,1,19,1,1,1,1,1,19,1,0,0,0,0,0,1,0,1,1,0,0,9,92
68,0,0,0,0,0,0,0,0,0,45,500,20,0,7,2018,0,1,19,7,1,1,1,1,19,7,0,0,0,0,0,1,0,1,1,0,0,6,78
69,0,0,0,0,1,0,1,1,0,67,487,6,5,7,2018,2,4,22,11,3,1,1,1,22,11,0,0,0,0,0,3,0,3,3,0,0,9,75
70,0,0,0,0,0,0,0,1,0,48,651,18,5,8,2018,2,1,14,23,1,1,1,1,14,23,0,0,0,0,0,1,0,1,1,0,0,7,88
71,0,0,0,0,0,0,0,0,0,63,0,18,5,8,2018,1,1,2,6,1,1,1,1,2,6,0,0,0,0,0,1,0,1,1,0,0,8,0
72,0,0,0,0,0,0,0,0,0,39,130,15,4,8,2018,2,2,49,66,3,1,1,1,49,66,0,0,0,0,0,3,0,3,3,0,0,6,24
73,0,0,0,0,0,0,0,0,0,27,116,23,5,8,2018,12,3,137,11,1,1,1,1,137,11,0,0,0,0,0,1,0,1,1,0,0,3,22
74,0,0,0,0,0,0,0,0,0,27,12,7,6,8,2018,0,1,64,17,4,1,2,2,64,17,0,0,0,2,0,2,0,4,2,0,0,6,2
75,0,0,0,0,0,0,1,0,0,33,296,8,6,8,2018,0,1,62,44,2,1,2,2,62,44,0,0,0,0,0,2,0,2,2,0,0,6,49
76,0,0,0,0,0,0,0,0,0,47,11,19,0,8,2018,0,2,34,8,4,2,2,2,34,8,0,0,0,0,0,4,0,4,4,0,0,8,2
