number,title,body,title_length,body_length,created_at,merged_at,updated_at,closed_at,state,merged,comments,commits,additions,deletions,changed_files,lines_added,lines_deleted,files_added,files_deleted,files_updated,files_modified,directory_num,file_type,language_num,segs_added,segs_deleted,segs_updated,file_developer,change_num,k_coreness,experience,repo
119,Disable rust-beta and nightly on AppVeyor,I think we can disable beta and nightly on AppVeyor to speed up the CI process. We test these channels on Travis CI.,41,116,2017-10-15 09:18:29+00:00,2017-10-15 10:46:07+00:00,2017-10-15 14:08:56+00:00,2017-10-15 10:46:07+00:00,closed,True,0,1,22,21,1,22,21,0,0,1,1,0,1,1,0,0,0,0,1,0,0,sharkdp/fd
122,Updated tutorial with real-world examples,"*Work in progress*

Initial work by @TitiAlone, see #73",41,57,2017-10-15 20:29:07+00:00,2017-10-22 19:59:04+00:00,2017-10-25 18:16:42+00:00,2017-10-22 19:59:04+00:00,closed,True,1,3,93,156,1,93,156,0,0,1,1,0,1,1,0,0,0,0,1,0,0,sharkdp/fd
120,Do rework for filter and match process,De rework for filter and match process to make it easy understanding,38,68,2017-10-15 12:02:06+00:00,,2017-10-19 18:21:26+00:00,2017-10-19 18:21:26+00:00,closed,False,3,1,96,57,1,96,57,0,0,1,1,1,1,1,0,0,0,0,1,0,0,sharkdp/fd
125,"Add fd.1 man page, close #77",https://github.com/sharkdp/fd/issues/77,28,39,2017-10-17 13:51:52+00:00,2017-10-19 18:10:35+00:00,2017-10-19 18:10:35+00:00,2017-10-19 18:10:35+00:00,closed,True,14,2,126,0,1,126,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,sharkdp/fd
123,Fix path check (fixes #113),,27,0,2017-10-15 21:31:12+00:00,2017-10-18 18:04:35+00:00,2017-10-18 18:04:35+00:00,2017-10-18 18:04:35+00:00,closed,True,4,9,112,126,9,112,126,0,0,9,9,5,1,1,0,0,0,0,9,0,0,sharkdp/fd
130,RedoxOS support.,"Hello!

Just small tweas to make it compile (and run) on Redox OS.

Works like a charm BTW! ",16,96,2017-10-18 21:24:41+00:00,,2017-10-18 21:26:09+00:00,2017-10-18 21:26:09+00:00,closed,False,0,1,3,3,2,3,3,0,0,2,2,1,1,1,0,0,0,0,2,0,0,sharkdp/fd
128,Handle terminal signals,"Adding signal handler for colorized output to prevent garbage from being printed to the screen.
#87 ",23,101,2017-10-17 18:22:25+00:00,2017-11-22 22:05:10+00:00,2017-12-14 04:13:02+00:00,2017-11-22 22:05:10+00:00,closed,True,25,10,59,6,4,59,6,0,0,4,4,1,3,3,0,0,0,0,4,0,0,sharkdp/fd
126,Fix ctrlc,"Gracefully handle SIGTERM when colored output is enabled.

#87 ",9,65,2017-10-17 15:32:55+00:00,,2017-10-17 18:19:20+00:00,2017-10-17 15:44:45+00:00,closed,False,1,4,59,4,4,59,4,0,0,4,4,1,3,3,0,0,0,0,4,0,0,sharkdp/fd
124,Allow overriding of OUT_DIR in build.rs,"Fixes #121.
* Uses SHELL_COMPLETIONS_DIR to change the output directory of the completions.
",39,94,2017-10-16 17:22:10+00:00,2017-10-17 06:11:43+00:00,2017-10-17 06:11:50+00:00,2017-10-17 06:11:43+00:00,closed,True,3,2,2,1,1,2,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,sharkdp/fd
131,RedoxOS support.,"Just small tweaks to make it compile (and run) in RedoxOS!

Works like a charm BTW!

\o/

",16,96,2017-10-18 22:03:41+00:00,2017-10-20 10:59:37+00:00,2017-10-20 10:59:37+00:00,2017-10-20 10:59:37+00:00,closed,True,5,2,5,5,2,5,5,0,0,2,2,2,1,1,0,0,0,0,2,0,0,sharkdp/fd
