,has_bug,has_document,has_feature,has_improve,has_refactor,has_test,has_fix,has_error,has_update,title_length,body_length,created_hour,created_dayofweek,created_month,created_year,comments,commits,additions,deletions,changed_files,directories,language_types,file_types,lines_added,lines_deleted,segs_added,segs_deleted,segs_updated,files_added,files_deleted,files_updated,file_developer,change_num,files_modified,is_core_member,prev_PRs,title_words,body_words
172,0,0,0,0,0,0,0,0,0,38,318,0,5,3,2019,0,1,5,5,4,4,1,1,5,5,0,0,0,0,0,4,0,4,4,0,0,3,28
173,0,0,0,0,0,0,0,0,0,30,170,15,1,3,2019,1,1,8,0,1,0,1,1,8,0,0,0,0,0,0,1,0,1,1,0,0,4,35
174,0,0,1,0,0,1,0,0,0,26,805,22,2,4,2019,16,8,46,2,5,3,1,1,46,2,0,0,0,0,0,5,0,5,5,0,0,3,115
175,0,0,0,0,0,0,0,1,0,73,2435,2,4,4,2019,3,1,36,32,1,1,1,1,36,32,0,0,0,0,0,1,0,1,1,0,0,11,334
176,0,0,0,0,0,0,0,0,0,31,2,14,2,5,2019,3,3,13,5,1,0,1,1,13,5,0,0,0,0,0,1,0,1,1,0,0,5,1
177,0,0,0,0,0,0,0,0,0,42,13,23,0,6,2019,1,1,8,0,1,0,1,1,8,0,0,0,0,0,0,1,0,1,1,0,0,5,2
178,0,0,0,0,0,0,0,0,0,13,178,11,0,6,2019,10,2,5,0,2,1,2,2,5,0,0,0,0,0,0,2,0,2,2,0,0,3,33
179,0,0,0,0,0,0,0,0,0,67,19,4,1,6,2019,4,1,3,1,2,1,2,2,3,1,0,0,0,0,0,2,0,2,2,0,0,12,4
180,0,0,0,0,0,1,1,0,0,24,129,5,6,6,2019,4,1,4,0,1,1,1,1,4,0,0,0,0,0,0,1,0,1,1,0,0,5,26
181,0,0,0,0,0,0,0,0,1,28,294,0,4,6,2019,1,1,9,0,1,0,1,1,9,0,0,0,0,0,0,1,0,1,1,0,0,4,51
182,0,0,0,0,0,0,0,0,0,28,0,12,0,8,2019,2,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,5,0
183,0,0,0,0,0,0,0,0,0,26,84,4,0,6,2019,1,3,9,1,2,1,2,2,9,1,0,0,0,0,0,2,0,2,2,0,0,5,15
184,0,0,0,0,0,0,0,0,0,44,11,20,4,9,2019,0,1,44,11,7,2,2,2,44,11,0,0,0,0,0,7,0,7,7,0,0,6,2
185,0,0,0,0,0,1,0,0,0,17,31,12,6,9,2019,0,5,162,21,8,3,3,3,162,21,0,0,0,0,0,8,0,8,8,0,0,2,6
186,0,0,0,0,0,0,0,0,0,49,11,14,6,9,2019,0,1,6,8,1,1,1,1,6,8,0,0,0,0,0,1,0,1,1,0,0,5,2
187,0,0,0,0,0,0,0,0,0,40,12,9,6,9,2019,0,3,152,176,2,1,2,2,152,176,0,0,0,0,0,2,0,2,2,0,0,4,2
188,0,0,0,0,0,0,0,0,0,12,789,15,6,9,2019,8,5,8,0,2,1,2,2,8,0,0,0,0,0,0,2,0,2,2,0,0,2,138
189,0,0,0,0,0,0,1,0,0,25,62,13,0,9,2019,1,3,7,3,2,2,2,2,7,3,0,0,0,0,0,2,0,2,2,0,0,5,10
190,0,0,0,0,0,0,0,0,0,67,3287,20,3,9,2019,2,1,25,40,4,2,3,3,25,40,0,0,0,0,0,4,0,4,4,0,0,8,517
191,0,0,0,0,0,0,0,0,1,15,149,10,1,10,2019,6,2,10,0,1,1,1,1,10,0,0,0,0,0,0,1,0,1,1,0,0,3,25
192,0,0,0,0,0,0,0,0,0,16,25,4,1,10,2019,1,4,135,14,2,2,2,2,135,14,0,0,0,0,0,2,0,2,2,0,0,2,2
193,0,0,0,0,0,0,1,0,0,20,62,12,1,10,2019,1,2,51,13,1,1,1,1,51,13,0,0,0,0,0,1,0,1,1,0,0,3,7
194,0,0,0,0,0,0,0,0,0,40,404,15,4,10,2019,1,1,10,0,1,0,1,1,10,0,0,0,0,0,0,1,0,1,1,0,0,6,64
195,0,0,0,0,0,0,0,0,0,44,266,14,2,10,2019,15,10,111,10,4,4,1,1,111,10,0,0,0,0,0,4,0,4,4,0,0,7,47
196,0,0,0,0,0,0,0,0,0,53,126,10,2,11,2019,20,1,80,0,3,2,1,1,80,0,0,0,0,0,0,3,0,3,3,0,0,9,14
197,0,0,1,0,0,0,0,0,0,43,305,1,4,11,2019,13,12,87,15,6,3,2,2,87,15,0,0,0,0,0,6,0,6,6,0,0,9,57
198,0,0,0,0,0,0,0,0,0,35,104,0,0,11,2019,1,1,0,8,1,0,1,1,0,8,0,0,0,0,0,1,0,1,1,0,0,4,18
199,0,0,0,0,0,0,1,0,0,39,21,14,5,12,2019,6,1,4,0,1,0,1,1,4,0,0,0,0,0,0,1,0,1,1,0,0,5,4
200,0,0,0,0,0,0,0,0,0,82,543,15,5,11,2019,13,4,47,4,1,1,1,1,47,4,0,0,0,0,0,1,0,1,1,0,0,15,55
201,0,0,0,0,0,0,0,0,0,49,0,20,4,12,2019,0,1,6,4,1,1,1,1,6,4,0,0,0,0,0,1,0,1,1,0,0,7,0
202,0,0,0,0,0,0,1,0,0,53,0,4,3,12,2019,1,1,2,2,1,1,1,1,2,2,0,0,0,0,0,1,0,1,1,0,0,8,0
203,0,0,0,0,0,0,0,0,0,40,602,16,3,1,2020,1,1,4,2,1,1,1,1,4,2,0,0,0,0,0,1,0,1,1,0,0,7,88
204,0,0,0,0,0,0,1,0,0,11,95,15,6,1,2020,1,1,26,21,2,0,2,1,26,21,0,0,0,0,0,2,0,2,2,0,0,2,17
205,0,0,0,0,0,0,0,0,0,49,522,16,5,1,2020,13,8,58,10,4,2,1,1,58,10,0,0,0,0,0,4,0,4,4,0,0,10,58
206,0,0,0,0,0,0,1,0,0,25,27,21,4,3,2020,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,4,6
207,0,0,0,0,0,0,0,0,0,45,67,5,6,3,2020,2,2,3,0,1,1,1,1,3,0,0,0,0,0,0,1,0,1,1,0,0,7,10
208,0,0,0,0,0,1,0,0,0,26,133,0,4,3,2020,34,3,101,7,5,3,1,1,101,7,0,0,0,0,0,5,0,5,5,0,0,4,23
209,0,0,0,0,0,0,0,0,0,26,14,20,3,3,2020,0,1,3,1,2,1,2,2,3,1,0,0,0,0,0,2,0,2,2,0,0,5,2
210,0,0,0,0,0,0,0,0,1,26,11,9,2,4,2020,0,1,4,4,2,0,2,2,4,4,0,0,0,0,0,2,0,2,2,0,0,3,2
